Процессор Intel Core i3-7100 3.9GHz/8GT/s/3MB (BX80677I37100) s1151 BOX
Материнская плата MSI A68HM-E33 V2 (sFM2+, AMD A68H, PCI-Ex16)
Материнская плата MSI B150M Bazooka Plus (s1151, Intel B150, PCI-Ex16)
Материнская плата Asus H81I-Plus (s1150, Intel H81, PCI-Ex16)
Материнская плата Gigabyte GA-H110M-S2V (s1151, Intel H110, PCI-Ex16)
Материнская плата Gigabyte GA-AX370-Gaming K5 (sAM4, AMD X370, PCI-Ex16)
Материнская плата MSI A320M Pro-VH Plus (sAM4, AMD A320, PCI-Ex16)
Материнская плата MSI H81M-P32L (s1150, Intel H81, PCI-Ex16)
Материнская плата ASRock FATAL1TY B250 Gaming K4 (s1151, Intel B250, PCI-Ex16)
Материнская плата MSI X370 SLI Plus (sAM4, AMD X370, PCI-Ex16)
Материнская плата Gigabyte GA-H81M-S1 (s1150, Intel H81, PCI-Ex16)
Материнская плата MSI H81M-E33 (s1150, Intel H81, PCI-E 2.0x16)
Материнская плата Gigabyte GA-H81M-S2H (s1150, Intel H81, PCI-Ex16)
Материнская плата Gigabyte GA-B250M-D3H (s1151, Intel B250, PCI-Ex16)
Материнская плата Gigabyte GA-B250M-Gaming 3 (s1151, Intel B250, PCI-Ex16)
Материнская плата ASRock X370 Killer SLI (sAM4, AMD X370, PCI-Ex16)
Материнская плата ASRock QC5000M-ITX/PH (AMD Kabini A4-5000, SoC, PCI-Ex16)
Материнская плата ASRock B150M-HDS (s1151, Intel B150, PCI-Ex16)
Материнская плата MSI B150I Gaming Pro (s1151, Intel B150, PCI-Ex16)
Материнская плата Gigabyte GA-Z270X-Gaming 7 (s1151, Intel Z270, PCI-Ex16)
Материнская плата Asus H81M-D R2.0 (s1150, Intel H81, PCI-Ex16)
Материнская плата Gigabyte GA-H110M-S2PV (s1151, Intel H110, PCI-Ex16)
Материнская плата Gigabyte Z370XP SLI (s1151, Intel Z370, PCI-Ex16)
Материнская плата Asus X99-E-10G WS (s2011-3, Intel X99, PCI-Ex16)
Материнская плата Gigabyte GA-J3355N-D2P (Intel Celeron J3355, SoC, PCI)
Материнская плата Gigabyte GA-B85M-HD3 R4 (s1150, B85, PCI-Ex16)
Материнская плата MSI B250 Gaming Pro Carbon (s1151, Intel B250, PCI-Ex16)
Материнская плата Asus H81M-C (s1150, Intel H81, PCI-Ex16)
Материнская плата ASRock FM2A68M-DG3+ (sFM2/FM2+, AMD A68H, PCI-Ex16)
Материнская плата ASRock FATAL1TY Z270 Gaming K6 (s1151, Intel Z270, PCI-Ex16)
Материнская плата Gigabyte GA-J3455N-D3H (Intel Celeron J3455, SoC, PCI)
Материнская плата MSI H81I (s1150, Intel H81, PCI-Ex16)
Материнская плата Gigabyte GA-AX370-Gaming 5 (sAM4, AMD X370, PCI-Ex16)
Материнская плата Gigabyte GA-AB350M-Gaming 3 (sAM4, AMD B350, PCI-Ex16)
Материнская плата MSI Z270 Gaming Plus (s1151, Intel Z270, PCI-Ex16)
Материнская плата MSI Z270 SLI (s1151, Intel Z270, PCI-Ex16)
Материнская плата Asus Maximus IX Extreme (s1151, Intel Z270, PCI-Ex16)
Материнская плата Gigabyte GA-H110M-S2H (s1151, Intel H110, PCI-Ex16)
Материнская плата Asus Z270-WS (s1151, Intel Z270, PCI-Ex16)
Материнская плата MSI H110M ECO (s1151, Intel H110, PCI-Ex16)
Материнская плата Gigabyte GA-Z270X-Gaming K5 (s1151, Intel Z270, PCI-Ex16)
Материнская плата Gigabyte GA-Q270M-D3H (s1151, Intel Q270, PCI-Ex16)
Материнская плата MSI Z270 Gaming Pro Carbon (s1151, Intel Z270, PCI-Ex16)
Материнская плата MSI Z270 PC Mate (s1151, Intel Z270, PCI-Ex16)
Материнская плата Asus B150M-C/CSM (s1151, Intel B150, PCI-Ex16)
Материнская плата Gigabyte GA-Z170X-Gaming 7 (s1151, Intel Z170, PCI-Ex16)
Материнская плата Gigabyte GA-AX370-Gaming K3 (sAM4, AMD X370, PCI-Ex16)
Материнская плата MSI X299 Gaming Pro Carbon (s2066, Intel X299, PCI-Ex16)
Материнская плата ASRock Fatal1ty B250M Performance (s1151, Intel B250, PCI-Ex16)
Материнская плата Gigabyte GA-B250M-Gaming 5 (s1151, Intel B250, PCI-Ex16)
Материнская плата MSI Z270 Tomahawk OPT Boost (s1151, Intel Z270, PCI-Ex16) + мышь MSI DS B1 в подарок !
Материнская плата Gigabyte X299 UD4 Pro (s2066, Intel X299, PCI-Ex16)
Материнская плата Gigabyte GA-Z270X-Gaming 5 (s1151, Intel Z270, PCI-Ex16)
